date,festival_flag,festival_name,aqi,daily_admissions,daily_emergency_walkins,daily_opd_visits,department_ward,daily_bed_occupancy,daily_icu_occupancy,oxygen_usage_per_day,oxygen_stock_level,medical_supply_stock_level,ambulance_requests,doctors_per_shift,nurses_per_shift,support_staff_per_shift,ventilator_usage,patient_waiting_time,symptoms_diagnosis,epidemic_indicator,near_hospital_1_name,near_hospital_1_distance_km,near_hospital_1_contact,near_hospital_2_name,near_hospital_2_distance_km,near_hospital_2_contact,near_hospital_3_name,near_hospital_3_distance_km,near_hospital_3_contact
2024-01-29,0,None,320,68,18,114,General,81,60,46,125,169,6,5,15,19,20,48,Headache,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-01-30,0,None,277,61,25,86,Pediatrics,74,52,45,70,165,6,11,22,15,10,33,Accident,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-01-31,0,None,297,72,21,120,ICU,83,53,85,93,158,13,14,19,17,16,50,Accident,Yes,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-02-01,0,None,149,75,11,117,Orthopedic,72,37,83,102,178,13,14,22,11,10,59,Headache,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-02-02,0,None,122,53,15,64,ICU,76,79,102,119,60,14,6,13,17,18,17,Breathing issue,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-02-03,0,None,133,71,26,140,General,59,76,90,129,139,19,11,22,11,18,57,Accident,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-02-04,0,None,153,48,20,122,Pediatrics,70,81,37,97,100,7,12,11,19,24,51,Fever,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-02-05,0,None,86,75,16,147,General,87,33,95,127,181,6,9,19,15,15,39,Headache,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-02-06,0,None,153,67,27,89,General,86,81,43,126,63,8,11,18,12,12,39,Headache,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-02-07,0,None,93,53,22,89,Orthopedic,50,83,39,105,131,8,14,18,17,5,15,Headache,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-02-08,0,None,89,48,22,64,Orthopedic,84,67,90,109,197,12,12,15,16,22,56,Headache,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-02-09,0,None,105,60,26,74,ICU,89,85,47,144,115,7,5,20,11,24,21,Headache,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-02-10,0,None,111,41,28,93,ICU,77,56,76,120,101,9,13,12,15,19,17,Breathing issue,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-02-11,0,None,124,53,15,94,Orthopedic,58,51,76,136,184,16,5,22,14,5,22,Headache,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-02-12,0,None,82,67,14,110,Surgery,67,84,35,107,176,14,11,19,19,13,37,Fever,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-02-13,0,None,101,46,20,81,ICU,83,66,42,127,69,5,12,15,19,19,56,Headache,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-02-14,0,None,140,42,13,98,General,93,58,58,128,56,10,12,17,16,18,58,Headache,Yes,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-02-15,0,None,91,58,13,127,General,71,37,107,125,51,9,11,14,13,23,33,Chest pain,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-02-16,0,None,158,55,22,132,Pediatrics,59,33,64,68,91,16,12,18,13,16,58,Fever,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-02-17,0,None,125,68,10,105,General,54,30,106,111,95,8,10,22,16,16,44,Breathing issue,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-02-18,0,None,127,58,17,124,Surgery,84,85,33,64,106,17,6,21,12,19,26,Chest pain,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-02-19,0,None,87,42,24,110,Orthopedic,92,44,58,65,166,5,13,20,13,13,49,Chest pain,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-02-20,0,None,94,42,26,115,General,80,75,78,79,100,8,11,14,19,24,51,Headache,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-02-21,0,None,117,57,17,142,Pediatrics,68,50,49,53,114,17,8,18,19,8,11,Accident,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-02-22,0,None,147,43,12,107,General,77,35,65,147,95,14,9,24,9,14,29,Headache,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-02-23,0,None,133,79,12,75,General,73,43,51,99,99,5,13,24,16,20,16,Breathing issue,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-02-24,0,None,130,74,27,134,Pediatrics,54,33,109,42,110,12,6,24,17,7,13,Fever,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-02-25,0,None,123,63,10,95,Pediatrics,58,39,81,45,128,15,6,14,13,22,6,Breathing issue,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-02-26,0,None,108,57,26,60,General,63,89,102,99,95,12,10,22,17,17,50,Fever,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-02-27,0,None,97,79,24,73,ICU,53,52,96,126,187,8,13,16,19,14,6,Fever,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-02-28,0,None,153,52,17,97,General,72,67,100,147,194,18,7,20,12,19,57,Fever,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-02-29,0,None,107,76,23,94,Orthopedic,58,89,94,145,130,15,14,13,14,12,13,Accident,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-03-01,0,None,102,47,23,103,Surgery,83,56,76,53,88,16,7,20,14,15,16,Breathing issue,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-03-02,0,None,130,43,25,104,Orthopedic,81,30,92,131,62,6,11,24,10,24,46,Fever,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-03-03,0,None,117,46,23,78,Pediatrics,84,75,105,43,55,6,7,24,19,16,39,Headache,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-03-04,0,None,87,79,15,128,General,52,56,72,64,170,14,10,18,18,16,53,Fever,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-03-05,0,None,143,72,20,75,ICU,64,34,31,84,155,6,7,12,12,19,35,Accident,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-03-06,0,None,148,43,11,131,Surgery,54,87,99,128,113,13,11,18,8,24,53,Chest pain,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-03-07,0,None,140,77,22,131,General,89,60,81,63,77,16,14,18,15,13,22,Fever,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-03-08,0,None,135,67,23,130,Surgery,81,84,63,90,193,5,6,19,11,16,29,Breathing issue,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-03-09,0,None,101,53,26,121,ICU,89,73,67,102,57,6,8,18,14,16,51,Breathing issue,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-03-10,0,None,104,43,26,88,ICU,80,81,91,88,191,18,10,21,10,9,44,Fever,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-03-11,1,Ramadan,88,74,54,119,General,56,50,99,100,191,10,5,17,19,11,20,Headache,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-03-12,0,None,116,75,11,107,General,76,73,58,131,163,18,13,15,16,9,34,Breathing issue,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-03-13,0,None,89,46,16,88,General,53,60,62,58,186,17,9,16,8,22,24,Chest pain,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-03-14,0,None,143,76,14,138,Orthopedic,85,78,36,121,169,16,12,13,8,24,23,Fever,Yes,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-03-15,0,None,157,55,11,82,Surgery,92,58,91,66,154,15,13,17,15,16,35,Chest pain,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-03-16,0,None,121,55,14,87,General,88,66,38,116,95,12,13,13,11,15,38,Fever,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-03-17,0,None,99,72,14,104,ICU,85,80,44,145,85,12,11,12,17,8,28,Fever,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-03-18,0,None,98,41,24,143,Orthopedic,57,79,74,122,154,15,6,18,17,5,44,Breathing issue,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-03-19,0,None,86,69,24,86,Orthopedic,70,37,83,55,132,12,12,12,17,14,15,Fever,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-03-20,0,None,133,78,15,81,Orthopedic,81,33,91,84,170,8,7,18,15,7,43,Chest pain,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-03-21,0,None,102,63,28,88,Pediatrics,61,69,50,88,185,10,5,24,8,14,25,Headache,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-03-22,0,None,116,75,20,147,ICU,78,30,38,136,64,15,11,13,18,21,33,Chest pain,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-03-23,0,None,138,50,13,109,General,60,59,109,133,97,7,7,17,19,6,56,Breathing issue,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-03-24,0,None,115,58,11,99,Pediatrics,55,53,32,116,93,14,6,17,18,15,43,Fever,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-03-25,1,Holi,140,116,25,169,Surgery,63,61,61,69,124,14,14,23,13,7,19,Fever,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-03-26,0,None,87,47,27,95,ICU,61,69,71,41,147,17,7,18,16,20,50,Breathing issue,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-03-27,0,None,143,72,24,110,Orthopedic,93,30,45,52,76,12,11,18,14,6,8,Chest pain,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-03-28,0,None,86,72,18,144,Pediatrics,74,54,50,132,190,5,13,14,19,10,49,Breathing issue,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-03-29,0,None,139,60,13,84,Surgery,72,85,59,130,68,6,5,17,11,20,16,Fever,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-03-30,0,None,98,50,11,133,Surgery,75,36,92,40,85,17,6,16,11,11,6,Accident,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-03-31,0,None,80,62,17,98,Surgery,90,31,64,111,124,14,13,24,12,7,32,Fever,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-04-01,0,None,149,70,12,109,General,68,68,44,67,86,9,14,21,12,10,58,Fever,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-04-02,0,None,127,78,14,134,Orthopedic,60,76,66,112,138,11,14,21,13,16,13,Headache,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-04-03,0,None,96,45,13,129,Orthopedic,91,43,31,60,73,15,12,17,15,8,45,Headache,Yes,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-04-04,0,None,107,62,13,144,Surgery,74,83,99,59,112,10,13,22,18,23,13,Chest pain,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-04-05,0,None,96,41,16,111,Surgery,83,46,72,59,135,18,13,20,8,19,23,Accident,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-04-06,0,None,130,57,10,116,ICU,60,40,97,144,53,16,6,18,19,12,18,Accident,Yes,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-04-07,0,None,126,71,23,123,Surgery,76,32,68,141,141,11,13,14,14,18,18,Chest pain,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-04-08,0,None,105,63,22,122,ICU,56,60,32,73,148,18,11,20,9,6,27,Breathing issue,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-04-09,0,None,109,43,24,75,Orthopedic,64,43,69,118,194,6,12,23,17,23,36,Accident,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-04-10,0,None,133,66,29,118,Orthopedic,69,36,92,86,152,9,5,23,17,15,11,Breathing issue,Yes,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-04-11,1,Kumbh Mela,147,89,33,171,Orthopedic,63,40,99,45,61,14,14,20,10,8,21,Fever,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-04-12,0,None,158,56,19,124,Pediatrics,70,83,85,47,97,15,12,23,11,5,9,Fever,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-04-13,0,None,136,77,18,123,Pediatrics,62,86,30,70,92,15,13,18,18,8,21,Breathing issue,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
